Beholder Zombie; Large undead; neutral evil; 15; natural armor; 93; 11d10+33; 0 ft., fly 20 ft. (hover); 10; 8; 16; 3; 8; 5; Wis +2; ; ; poison; poisoned; Darkvision 60 ft., PP 9; understands Deep Speech and Undercommon but can't speak; 5; 1800; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (4d6) piercing damage.<br><br><i><b>Eye Ray:</b></i> The zombie uses a random magical eye ray, choosing a target that it can see within 60 feet of it.<br><br><i>1. Paralyzing Ray:</i> The targeted creature must succeed on a DC 14 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>2. Fear Ray:</i> The targeted creature must succeed on a DC 14 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.<br><i>3. Enervation Ray:</i> The targeted creature must make a DC 14 Constitution saving throw, taking 36 (8d8) necrotic damage on a failed save, or half as much damage on a successful one.<br><i>4. Disintegration Ray:</i> If the target is a creature, it must succeed on a DC 14 Dexterity saving throw or take 45 (10d8) force damage. If this damage reduces the creature to 0 hit points, its body becomes a pile of fine gray dust.<br>If the target is a Large or smaller non magical object or creation of magical force, it is disintegrated without a saving throw. If the target is a Huge or larger non magical object or creation of magical force, this ray disintegrates a 10-foot cube of it.; ; <i><b>Undead Fortitude:</b></i> If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.
Githzerai Zerth; Medium humanoid (gith); lawful neutral; 17; ; 84; 13d8+26; 30 ft.; 13; 18; 15; 16; 17; 12; Str +4, Dex +7, Int +6, Wis +6; Arcana +6, Insight +6, Perception +6; ; ; ; PP 16; Gith; 6; 2300; ; <i><b>Multiattack:</b></i> The githzerai makes two unarmed strikes.<br><br><i><b>Unarmed Strike:</b> Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6+4) bludgeoning damage plus 13 (3d8) psychic damage. This is a magic weapon attack.; ; <i><b>Innate Spellcasting:</b></i> The githzerai's spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>mage hand (the hand is invisible)</i><br>3/day each: <i>feather fall, jump, see invisibility, shield</i><br>1/day each: <i>phantasmal killer, plane shift</i><br><br><i><b>Psychic Defense:</b></i> While the githzerai is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.
Githzerai Monk; Medium humanoid (gith); lawful neutral; 14; ; 38; 7d8+7; 30 ft.; 12; 15; 12; 13; 14; 10; Str +3, Dex +4, Int +3, Wis +4; Insight +4, Perception +4; ; ; ; PP 14; Gith; 2; 450; ; <i><b>Multiattack:</b></i> The githzerai makes two unarmed strikes.<br><br><i><b>Unarmed Strike:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d8+2) bludgeoning damage plus 9 (2d8) psychic damage. This is a magic weapon attack.; ; <i><b>Innate Spellcasting:</b></i> The githzerai's innate spellcasting ability is Wisdom. It can innately cast the following spells, requiring no material components:<br><br>At will: <i>mage hand (the hand is invisible)</i><br>3/day each: <i>feather fall, jump, see invisibility, shield</i><br><br><i><b>Psychic Defense:</b></i> While the githzerai is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.
Githyanki Knight; Medium humanoid (gith); lawful evil; 18; plate; 91; 14d8+28; 30 ft.; 16; 14; 15; 14; 14; 15; Con +5, Int +5, Wis +5; ; ; ; ; PP 12; Gith; 8; 3900; ; <i><b>Multiattack:</b></i> The githyanki makes two silver greatsword attacks.<br><br><i><b>Silver Greatsword:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d6+6) slashing damage plus 10 (3d6) psychic damage. This is a magic weapon attack. On a critical hit against a target in an astral body (as with the <i>astral projection</i> spell), the githyanki can cut the silvery cord that tethers the target to its material body, instead of dealing damage.; ; <i><b>Innate Spellcasting:</b></i> The githyanki's spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>mage hand (the hand is invisible)</i><br>3/day each: <i>jump, misty step, nondetection (self only), tongues</i><br>1/day each: <i>plane shift, telekinesis</i>
Githyanki Warrior; Medium humanoid (gith); lawful evil; 17; half plate; 49; 9d8+9; 30 ft.; 15; 14; 12; 13; 13; 10; Con +3, Int +3, Wis +3; ; ; ; ; PP 11; Gith; 3; 700; ; <i><b>Multiattack:</b></i> The githyanki makes two greatsword attacks.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d6+2) slashing damage plus 7 (2d6) psychic damage.; ; <i><b>Innate Spellcasting:</b></i> The githyanki's spellcasting ability is Intelligence. It can innately cast the following spells, requiring no material components:<br><br>At will: <i>mage hand (the hand is invisible)</i><br>3/day each: <i>jump, misty step, nondetection (self only)</i>
Gibbering Mouther; Medium aberration; neutral; 9; ; 67; 9d8+27; 10 ft., swim 10 ft.; 10; 8; 16; 3; 10; 6; ; ; ; ; prone; Darkvision 60 ft., PP 10; ---; 2; 450; ; <i><b>Multiattack:</b></i> The gibbering mouther makes one bite attack and, if it can, uses its Blinding Spittle.<br><br><i><b>Bites:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one creature. <i>Hit:</i> 17 (5d6) piercing damage. If the target is Medium or smaller, it must succeed on a DC 10 Strength saving throw or be knocked prone. If the target is killed by this damage, it is absorbed into the mouther.<br><br><i><b>Blinding Spittle (Recharge 5-6):</b></i> The mouther spits a chemical glob at a point it can see within 15 feet of it. The glob explodes in a blinding flash of light on impact. Each creature within 5 feet of the flash must succeed on a DC 13 Dexterity saving throw or be blinded until the end of the mouther's next turn.; ; <i><b>Aberrant Ground:</b></i> The ground in a 10-foot radius around the mouther is doughlike difficult terrain. Each creature that starts its turn in that area must succeed on a DC 10 Strength saving throw or have its speed reduced to 0 until the start of its next turn.<br><br><i><b>Gibbering:</b></i> The mouther babbles incoherently while it can see any creature and isn't incapacitated. Each creature that starts its turn within 20 feet of the mouther and can hear the gibbering must succeed on a DC 10 Wisdom saving throw. On a failure, the creature can't take reactions until the start of its next turn and rolls a d8 to determine what it does during its turn. On a 1 to 4, the creature does nothing. On a 5 or 6, the creature takes no action or bonus action and uses all its movement to move in a randomly determined direction. On a 7 or 8, the creature makes a melee attack against a randomly determined creature within its reach or does nothing if it can't make such an attack.
Storm Giant; Huge giant; chaotic good; 16; scale mail; 230; 20d12+100; 50 ft., swim 50 ft.; 29; 14; 20; 16; 18; 18; Str +14, Con +10, Wis +9, Cha +9; Arcana +8, Athletics +14, History +8, Perception +9; cold; lightning, thunder; ; PP 19; Common, Giant; 13; 10000; ; <i><b>Multiattack:</b></i> The giant makes two greatsword attacks.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +14 to hit, reach 10 ft., one target. <i>Hit:</i> 30 (6d6+9) slashing damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +14 to hit, range 60/240 ft., one target. <i>Hit:</i> 35 (4d12+9) bludgeoning damage.<br><br><i><b>Lightning Strike (Recharge 5-6):</b></i> The giant hurls a magical lightning bolt at a point it can see within 500 feet of it. Each creature within 10 feet of that point must make a DC 17 Dexterity saving throw, taking 54 (12d8) lightning damage on a failed save, or half as much damage on a successful one.; ; <i><b>Amphibious:</b></i> The giant can breathe air and water.<br><br><i><b>Innate Spellcasting:</b></i> The giant's spellcasting ability is Charisma (spell save DC 17). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>detect magic, feather fall, leviate. light</i><br>3/day each: <i>control weather, water breathing</i>
Stone Giant; Huge giant; neutral; 17; natural armor; 126; 11d12+55; 40 ft.; 23; 15; 20; 10; 12; 9; Dex +5, Con +8, Wis +4; Athletics +12, Perception +4; ; ; ; Darkvision 60 ft., PP 14; Giant; 7; 2900; ; <i><b>Multiattack:</b></i> The giant makes two greatclub attacks.<br><br><i><b>Greatclub:</b> Melee Weapon Attack:</i> +9 to hit, reach 15 ft., one target. <i>Hit:</i> 19 (3d8+6) bludgeoning damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +9 to hit, range 60/240 ft., one target. <i>Hit:</i> 28 (4d10+6) bludgeoning damage. If the target is a creature, it must succeed on a DC 17 Strength saving throw or be knocked prone.<br><br><h1>Reactions</h1><p><i><b>Rock Catching:</b></i> If a rock or similar object is hurled at the giant, the giant can, with a successful DC 10 Dexterity saving throw, catch the missile and take no bludgeoning damage from it.</p>; ; <i><b>Stone Camouflage:</b></i> The giant has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.
Hill Giant; Huge giant; chaotic evil; 13; natural armor; 105; 10d12+40; 40 ft.; 21; 8; 19; 5; 9; 6; ; Perception +2; ; ; ; PP 12; Giant; 5; 1800; ; <i><b>Multiattack:</b></i> The giant makes two greatclub attacks.<br><br><i><b>Greatclub:</b> Melee Weapon Attack:</i> +8 to hit, reach 10 ft., one target. <i>Hit:</i> 18 (3d8+5) bludgeoning damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +8 to hit, range 60/240 ft., one target. <i>Hit:</i> 21 (3d10+5) bludgeoning damage.; ; 
Frost Giant; Huge giant; neutral evil; 15; patchwork armor; 138; 12d12+60; 40 ft.; 23; 9; 21; 9; 10; 12; Con +8, Wis +3, Cha +4; Athletics +9, Perception +3; ; cold; ; PP 13; Giant; 8; 3900; ; <i><b>Multiattack:</b></i> The giant makes two greataxe attacks.<br><br><i><b>Greataxe:</b> Melee Weapon Attack:</i> +9 to hit, reach 10 ft., one target. <i>Hit:</i> 25 (3d12+6) slashing damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +9 to hit, range 60/240 ft., one target. <i>Hit:</i> 28 (4d10+6) bludgeoning damage.; ; 
Fire Giant; Huge giant; lawful evil; 18; plate; 162; 13d12+78; 30 ft.; 25; 9; 23; 10; 14; 13; Dex +3, Con +10, Cha +5; Athletics +11, Perception +6; ; fire; ; PP 16; Giant; 9; 5000; ; <i><b>Multiattack:</b></i> The giant makes two greatsword attacks.<br><br><i><b>Greatsword:</b> Melee Weapon Attack:</i> +12 to hit, reach 10 ft., one target. <i>Hit:</i> 28 (6d6+7) slashing damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +11 to hit, range 60/240 ft., one target. <i>Hit:</i> 29 (4d10+7) bludgeoning damage.; ; 
Cloud Giant; Huge giant; neutral good (50%) or neutral evil (50%); 14; natural armor; 200; 16d12+96; 40 ft.; 27; 10; 22; 12; 16; 16; Con +9, Wis +7, Cha +7; Insight +7, Perception +7; ; ; ; PP 17; Common, Giant; 9; 5000; ; <i><b>Multiattack:</b></i> The giant makes two morningstar attacks.<br><br><i><b>Morningstar:</b> Melee Weapon Attack:</i> +12 to hit, reach 10 ft., one target. <i>Hit:</i> 21 (3d8+8) piercing damage.<br><br><i><b>Rock:</b> Ranged Weapon Attack:</i> +12 to hit, range 60/240 ft., one target. <i>Hit:</i> 30 (4d10+8) bludgeoning damage.; ; <i><b>Keen Smell:</b></i> The giant has advantage on Wisdom (Perception) checks that rely on smell.<br><br><i><b>Innate Spellcasting:</b></i> The giant's spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:<br><br>At will: <i>detect magic, fog cloud, light</i><br>3/day each: <i>feather fall, fly, misty step, telekinesis</i><br>1/day each: <i>control weather, gaseous form</i>
Ghoul; Medium undead; chaotic evil; 12; ; 22; 5d8; 30 ft.; 13; 15; 10; 7; 10; 6; ; ; ; poison; charmed, exhaustion, poisoned; Darkvision 60 ft., PP 10; Common; 1; 200; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one creature. <i>Hit:</i> 9 (2d6+2) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (2d4+2) slashing damage. If the target is a creature other than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; 
Ghast; Medium undead; chaotic evil; 13; ; 36; 8d8; 30 ft.; 16; 17; 10; 11; 10; 8; ; ; necrotic; ; charmed, exhaustion, poisoned; Darkvision 60 ft., PP 10; Common; 2; 450; ; <i><b>Bite:</b> Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one creature. <i>Hit:</i> 12 (2d8+3) piercing damage.<br><br><i><b>Claws:</b></i> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (2d6+3) slashing damage. If the target is a creature other than an undead, it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.; ; <i><b>Stench:</b></i> Any creature that starts its turn within 5 feet of the ghast must succeed on a DC 10 Constitution saving throw or be poisoned until the start of its next turn. On a successful saving throw, the creature is immune to the ghast's Stench for 24 hours.<br><br><i><b>Turning Defiance:</b></i> The ghast and any ghouls within 30 feet of it have advantage on saving throws against effects that turn undead.
Ghost; Medium undead; any alignment; 11; ; 45; 10d8; 0 ft., fly 40 ft.; 7; 13; 10; 10; 12; 17; ; ; acid, fire, lightning, thunder, bludgeoning, piercing and slashing from nonmagical weapons; cold, necrotic, poison; charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained; Darkvision 60 ft., PP 11; any languages it knew in life; 4; 1100; ; <i><b>Withering Touch:</b> Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 17 (4d6+3) necrotic damage.<br><br><i><b>Etherealness:</b></i> The ghost enters the Ethereal Plane from the Material Plane, or vice versa. It is visible on the Material Plane while it is in the Border Ethereal, and viae versa, yet it can't affect or be affected by anything on the other plane.<br><br><i><b>Horrifying Visage:</b></i> Each non-undead creature within 60 feet of the ghost that can see it must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. If the save fails by 5 or more, the target also ages 1d4 x 10 years. A frightened target can repeat the saving throw at the end of each of its turns, ending the frightened condition on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to this ghost's Horrifying Visage for the next 24 hours. The aging effect can be reversed with a greater restoration spell, but only within 24 hours of it occurring.<br><br><i><b>Possession (Recharge 6):</b></i> One humanoid that the ghost can see within 5 feet of it must succeed on a DC 13 Charisma saving throw or be possessed by the ghost, the ghost then disappears, and the target is incapacitated and loses control of its body. The ghost now controls the body but doesn't deprive the target of awareness. The ghost can't be targeted by any attack, spell, or other effect, except ones that turn undead, and it retains its alignment, Intelligence, Wisdom, Charisma, and immunity to being charmed and frightened. It otherwise uses the possessed target's statistics, but doesn't gain access to the target's knowledge, class features, or proficiencies.<br>The possession lasts until the body drops to 0 hit points, the ghost ends it as a bonus action, or the ghost is turned or forced out by an effect like the dispel evil and good spell. When the possession ends, the ghost reappears in an unoccupied space within 5 feet of the body. The target is immune to this ghost's Possession for 24 hours after succeeding on the saving throw or after the possession ends.; ; <i><b>Ethereal Sight:</b></i> The ghost can see 60 feet into the Ethereal Plane when it is on the Material Plane, and vice versa.<br><br><i><b>Incorporeal Movement:</b></i> The ghost can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn in side an object.
Marid; Large elemental; chaotic neutral; 17; natural armor; 229; 17d10+136; 30 ft., fly 60 ft., swim 90 ft.; 22; 12; 26; 18; 17; 18; Dex +5, Wis +7, Cha +8; ; acid, cold, lightning; ; ; Blindsight 30 ft., Darkvision 120 ft., PP 13; Aquan; 11; 7200; ; <i><b>Multiattack:</b></i> The marid makes two trident attacks.<br><br><i><b>Trident:</b> Melee or Ranged Weapon Attack:</i> +10 to hit, reach 5 ft. or range 20/60 ft., one target. <i>Hit:</i> 13 (2d6+6) piercing damage, or 15 (2d8+6) piercing damage if used with two hands to make a melee attack.<br><br><i><b>Water jet:</b></i> The marid magically shoots water in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw. On a failure, a target takes 21 (6d6) bludgeoning damage and, if it is Huge or smaller, is pushed up to 20 feet away from the marid and knocked prone. On a success, a target takes half the bludgeoning damage, but is neither pushed nor knocked prone.; ; <i><b>Amphibious:</b></i> The marid can breathe air and water.</b></i><br><br><i><b>Elemental Demise:</b></i> If the marid dies, its body disintegrates in a burst of water and foam, leaving behind only equipment the marid was wearing or carrying.<br><br><i><b>Innate Spellcasting:</b></i> The marid's innate spellcasting ability is Charisma (spell save DC 16, +8 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>create or destroy water, detect evil and good, detect magic, fog cloud, purify food and drink</i><br>3/day: <i>tongues, water breathing, water walk</i><br>1/day each: <i>conjure elemental (water elemental only), control water, gaseous form, invisibility, plane shift</i>
Efreeti; Large elemental; lawful evil; 17; natural armor; 200; 16d10+112; 40 ft., fly 60 ft.; 22; 12; 24; 16; 15; 16; Int +7, Wis +6, Cha +7; ; ; Fire; ; Darkvision 120 ft., PP 12; Ignan; 11; 7200; ; <i><b>Multiattack:</b></i> The efreeti makes two scimitar attacks or uses its Hurl Flame twice.<br><br><i><b>Scimitar:</b> Melee Weapon Attack:</i> +10 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d6+6) slashing damage plus 7 (2d6) fire damage.<br><br><i><b>Hurl Flame:</b> Ranged Spell Attack:</i> +7 to hit, range 120 ft., one target. <i>Hit:</i> 17 (5d6) fire damage.; ; <i><b>Elemental Demise:</b></i> If the efreeti dies, its body disintegrates in a flash of fire and puff of smoke, leaving behind only equipment the efreeti was wearing or carrying.<br><br><i><b>Innate Spellcasting:</b></i> The efreeti's innate spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>detect magic</i><br>3/day: <i>enlarge/reduce, tongues</i><br>1/day each: <i>conjure elemental (fire elemental only), gaseous form, invisibility, major image, plane shift, wall of fire</i>
Djinni; Large elemental; chaotic good; 17; natural armor; 161; 14d10+84; 30 ft., fly 60 ft.; 21; 15; 22; 15; 16; 20; Dex +6, Wis +7, Cha +9; ; ; lightning, thunder; ; Darkvision 120 ft., PP 13; Auran; 11; 7200; ; <i><b>Multiattack:</b></i> The djinni makes three scimitar attacks.<br><br><i><b>Scimitar:</b> Melee Weapon Attack:</i> +9 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d6+5) slashing damage plus 3 (1d6) lightning or thunder damage (djinni's choice).<br><br><i><b>Create Whirlwind:</b></i> A 5-foot-radius, 30-foot-tall cylinder of swirling air magically forms on a point the djinni can see within 120 feet of it. The whirlwind lasts as long as the djinni maintains concentration (as if concentrating on a spell). Any creature but the djinni that enters the whirlwind must succeed on a DC 18 Strength saving throw or be restrained by it. The djinni can move the whirlwind up to 60 feet as an action, and creatures restrained by the whirlwind move with it. The whirlwind ends if the djinni loses sight of it.<br>A creature can use its action to free a creature restrained by the whirlwind, including itself, by succeeding on a DC 18 Strength check. If the check succeeds, the creature is no longer restrained and moves to the nearest space outside the whirlwind.; ; <i><b>Elemental Demise:</b></i> If the djinni dies, its body disintegrates into a warm breeze, leaving behind only equipment the djinni was wearing or carrying.<br><br><i><b>Innate Spellcasting:</b></i> The djinni's innate spellcasting ability is Charisma (spell save DC 17, +9 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br><br>At will: <i>detect evil and good, detect magic, thunderwave</i><br>3/day each: <i>create food and water (can create wine instead of water), tongues, wind walk</i><br>1/day each: <i>conjure elemental (air elemental only), creation, gaseous form, invisibility, major image, plane shift</i>
Dao; Large elemental; neutral evil; 18; natural armor; 187; 15d10+105; 30 ft., burrow 30 ft., fly 30 ft.; 23; 12; 24; 12; 13; 14; Int +5, Wis +5, Cha +6; ; ; ; petrified; Darkvision 120 ft., PP 11; Terran; 11; 7200; ; <i><b>Multiattack:</b></i> The dao makes two fist attacks or two maul attacks.<br><br><i><b>Fist:</b> Melee Weapon Attack:</i> +10 to hit, reach 5 ft., one target. <i>Hit:</i> 15 (2d8+6) bludgeoning damage.<br><br><i><b>Maul:</b> Melee Weapon Attack:</i> +10 to hit, reach 5 ft., one target. <i>Hit:</i> 20 (4d6+6) bludgeoning damage. If the target is a Huge or smaller creature, it must succeed on a DC 18 Strength check or be knocked prone.; ; <i><b>Earth Glide:</b></i> The dao can burrow through nonmagical, unworked earth and stone. While doing so, the dao oesn't disturb the material it moves through.<br><br><i><b>Elemental Demise:</b></i> If the dao dies, its body disintegrates into crystalline powder, leaving behind only equipment the dao was wearing or carrying.<br><br><i><b>Innate Spellcasting:</b></i> The dao's innate spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). It can innately cast the following spells, requiring no material components:<br>At will: <i>detect evil and good, detect magic, stone shape</i><br>3/day each: <i>passwall, move earth, tongues</i><br>1/day each: <i>conjure elemental (earth elemental only), gaseous form, invisibility, phantasmal killer, plane shift, wall of stone</i><br><br><i><b>Sure-Footed:</b></i> The dao has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.
Gargoyle; Medium elemental; chaotic evil; 15; natural armor; 52; 7d8+21; 30 ft., fly 60 ft.; 15; 11; 16; 6; 11; 7; ; ; bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine; poison; exhaustion, petrified, poisoned; Darkvision 60 ft., PP 10; Terran; 2; 450; ; <i><b>Multiattack:</b></i> The gargoyle makes two attacks: one with its bite and one with its claws.<br><br><i><b>Bite:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6+2) piercing damage.<br><br><i><b>Claws:</b> Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6+2) slashing damage.; ; <i><b>False Appearance:</b></i> While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.
Galeb Duhr; Medium elemental; neutral; 16; natural armor; 85; 9d8+45; 15 ft., (30 ft. when rolling, 60 ft. rolling downhill); 20; 14; 20; 11; 12; 11; ; ; bludgeoning, piercing and slashing from nonmagical weapons; poison; exhaustion, paralyzed, poisoned, petrified; Darkvision 60 ft., Tremorsense 60 ft., PP 11; Terran; 6; 2300; ; <i><b>Slam:</b> Melee Weapon Attack:</i> +8 to hit, reach 5 ft., one target. <i>Hit:</i> 12 (2d6+5) bludgeoning damage.<br><br><i><b>Animate Boulders (1/Day):</b></i> The galeb duhr magically animates up to two boulders it can see within 60 feet of it. A boulder has statistics like those of a galeb duhr, except it has Intelligence 1 and Charisma 1, it can't be charmed or frightened, and it lacks this action option. A boulder remains animated as long as the galeb duhr maintains concentration, up to l minute (as if concentrating on a spell).; ; <i><b>False Appearance:</b></i> While the galeb duhr remains motionless, it is indistinguishable from a normal boulder.<br><br><i><b>Rolling Charge:</b></i> If the galeb duhr rolls at least 20 feet straight toward a target and then hits it with a slam attack on the same turn, the target takes an extra 7 (2d6) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone.
Violet Fungus; Medium plant; unaligned; 5; ; 18; 4d8; 5 ft.; 3; 1; 10; 1; 3; 1; ; ; ; ; blinded, deafened, frightened; Blindsight 30 ft. (blind beyond this radius), PP 6; ---; 1/4; 50; ; <i><b>Multiattack:</b></i> The fungus makes 1d4 Rotting Touch attacks.<br><br><i><b>Rotting Touch:</b> Melee Weapon Attack:</i> +2 to hit, reach 10 ft., one creature. <i>Hit:</i> 4 (1d8) necrotic damage.; ; <i><b>False Appearance:</b></i> While the violet fungus remains motionless, it is indistinguishable from an ordinary fungus.
Shrieker; Medium plant; unaligned; 5; ; 13; 3d8; 0 ft.; 1; 1; 10; 1; 3; 1; ; ; ; ; blinded, deafened, frightened; Blindsight 30 ft. (blind beyond this radius), PP 6; ---; 0; 10; ; <h1>Reactions</h1><p><i><b>Shriek:</b></i> When bright light or a creature is within 30 feet of the shrieker, it emits a shriek audible within 300 feet of it. The shrieker continues to shriek until the disturbance moves out of range and for 1d4 of the shrieker's turns afterward.</p>; ; <i><b>False Appearance:</b></i> While the shrieker remains motionless, it is indistinguishable from an ordinary fungus.
Gas Spore; Large plant; unaligned; 5; ; 1; 1d10-4; 0 ft., 10 ft. (hover); 5; 1; 3; 1; 1; 1; ; ; ; poison; blinded, deafened, frightened, paralyzed, poisoned, prone; Blindsight 30 ft. (blind beyond this radius), PP 5; ---; 1/2; 100; ; <i><b>Touch:</b> Melee Weapon Attack:</i> +0 to hit, reach 5 ft., one creature. <i>Hit:</i> 1 poison damage, and the creature must succeed on a DC 10 Constitution saving throw or become infected with the disease described in the Death Burst trait.; ; <i><b>Death Burst:</b></i> The gas spore explodes when it drops to 0 hit points. Each creature within 20 feet of it must succeed on a DC 15 Constitution saving throw or take 10 (3d6) poison damage and become infected with a disease on a failed save. Creatures immune to the poisoned condition are immune to this disease.<br>Spores invade an infected creature's system, killing the creature in a number of hours equal to 1d12 + the creature's Constitution score, unless the disease is removed. In half that time, the creature becomes poisoned for the rest of the duration. After the creature dies, it sprouts 2d4 Tiny gas spores that grow to full size in 7 days.<br><br><i><b>Eerie Resemblance:</b></i> The gas spore resembles a beholder. A creature that can see the gas spore can discern its true nature with a successful DC 15 Intelligence (Nature) check.
Fomorian; Huge giant; chaotic evil; 14; natural armor; 149; 13d12+65; 30 ft.; 23; 10; 20; 9; 14; 6; ; Perception +8, Stealth +3; ; ; ; Darkvision 120 ft., PP 18; Giant, Undercommon; 8; 3900; ; <i><b>Multiattack:</b></i> The fomorian attacks twice with its greatclub or makes one greatclub attack and uses Evil Eye once.<br><br><i><b>Greatclub:</b> Melee Weapon Attack:</i> +9 to hit, reach 15 ft., one target. <i>Hit:</i> 19 (3d8+6) bludgeoning damage.<br><br><i><b>Evil Eye:</b></i> The fomorian magically forces a creature it can see within 60 feet of it to make a DC 14 Charisma saving throw. The creature takes 27 (6d8) psychic damage on a failed save, or half as much damage on a successful one.<br><br><i><b>Curse of the Evil Eye (Recharges after a Short or Long Rest):</b></i> With a stare, the fomorian uses Evil Eye, but on a failed save, the creature is also cursed with magical deformities. While deformed, the creature has its speed halved and has disadvantage on ability checks, saving throws, and attacks based on Strength or Dexterity.<br>The transformed creature can repeat the saving throw whenever it finishes a long rest, ending the effect on a success.; ; 
